rating,title,text,asin,user_id,timestamp
5.0,Tiny bottle - Great for Gua Sha massage,[[VIDEOID:9dead00b25249e454e9ac285069262fb]] To my surprise- This is a tiny bottle of Jasmine Vital Oil. Very tiny like 4 ml.<br /><br />I have previously used products from Clarks Botanicals & I seem to like the subtlety of their products. This particular oil I use for my gua sha routine every other night.<br /><br />It absorbs very well into the skin & the gua sha easily glides on my facial skin. The oil is kinda runny & has no fragrance!<br /><br />But sadly it will last for a few days only! Gotta buy more.,B0BTTNDWXB,AGMILXKKGL53FK7VAFS7QU2ZAW2A,2023-03-11 03:30:02.902
5.0,LOVE!! Just love,I got this for a costume and I'm obsessed!  Dont walk run if you are wanting a very soft comfortable wig,B087QXSHNY,AEENGFBL5A2CQAGYT5TTGJYG5IKA,2022-03-30 21:26:23.632
2.0,Two Stars,it pretty colors but the nail polish does not stay on long even with a top coat.,B00CU7J1PG,AGJUELV5R5CGP24MHGD4CN6FRTCA,2015-02-09 18:51:07.000
3.0,very hard to use.,These are not as easy as they look they only hook on half a lash.  I tried and tried over and over thinking it would get better with practice but nope.,B09L4VGN32,AF3YJARIEWIGYZ33SYGZ3SPMG2EQ,2022-07-04 04:44:20.217
5.0,It works,Works as expected.,B08GKHQ9P1,AHBLLYTIMY47ZCQCGVFUMFCUULDQ,2021-05-09 22:22:04.147
4.0,Four Stars,"Wife happy, had to try.  Would be better is results lasted longer.",B079F67V9B,AEKUG5V5DS4KAXNERZKHUSCQDEUA,2018-05-16 15:43:56.742
4.0,Lovely cuticles,The scents are very appealing and I am hoping this product will keep my cuticles  moisturized during the long summer in AZ,B07Z7Z9XRQ,AEREHTKYNZMBXXKSAV4PXDQ7HBQA,2020-05-10 04:02:22.426
1.0,Dried up,I loved it!!!!!Got the blond..after 3 weeks it dried up..and yes I kept cover tight..Really hard to apply now.:(,B01MSU5LJX,AHHHTT745N6TGQXTVVQOEZTVW6GA,2018-11-25 17:37:22.980
5.0,I like it,Nice color,B07Z3XTDQL,AHZHKSHHJZYW3Y2ORJBDXBNAWQVQ,2020-02-10 04:47:23.154
2.0,Beware of the toy inside,Beware of the toy crocodile. My daughter laughed and had her mouth wide open when she pushed the crocodile and one eye popped out and flew right into her throat. I hit her on the back and she coughed and got it out. That was terrifying moment for us. Please note there is only one toy and not a toy in every bath bomb.,B076DL1M1D,AHDWJPBJGMAHUAZIMP7PGOLCPQYA,2018-11-29 02:33:37.012
5.0,Love This,I have been looking for this product for almost a year now.  I used to get it at the salon but I no longer go there to get my hair cut and no where else had this exact product.  This product definitely gives my hair volume and I absolutely love the way it smells.  A little pricey but it lasts quite awhile.,B07H8VP3H2,AEDQ4UGLCS2RB7JC2475D4ZUS62Q,2022-09-26 20:24:48.732
5.0,This is WONDERFUL!,This necklace is BEAUTIFUL. Exactly how it looks in the picture. It glows so bright still and I've had it for a while. It even survived showers and swimming in a chlorine pool. The glow shines even when its not all that dark. This is one of the best things I've ever bought online.,B00C6QB9GK,AHQXCREPIQ4JZCU2H3OGLZ3PEHAA,2013-08-10 20:01:14.000
5.0,They are great. Had to tell a friend who has also ...,Have been looking for these for the last several years!  I still have 2 well worn ones from 20+ years ago. They are great. Had to tell a friend who has also been holding on to her only two for the same 20+yrs..thank you sooo much,B06X9QDPZW,AE26EEUU5IDUIFO3CIZU3K3DP32A,2018-05-11 12:29:18.304
5.0,Exactly what I wanted!,"I really was skeptical about buying these with negative reviews. So thankful I took the risk it, they’re perfect!",B0876WC4S5,AETJX3SNUWQEMI5WQA7VG6NCCQTQ,2021-09-04 13:11:43.978
4.0,Four Stars,It's good,B01BJLTP9A,AGYGZMLSRE4G4TW6G4V4CXSEVXDA,2016-10-16 00:48:56.000
4.0,Moisturizing for dry face! Not a counterfeit,"Most reviewers are stating either it's half empty or clumpy, you have to keep in mind that the pictures only look like the cream is tilted to the side. It had to be mixed. Mine came a bit clumpy  but after I mixed it thoroughly it is fine. I don't believe this is a counterfeit.  Remember,  the ingredients are natural,  which means color and texture will be different.  And refrigerate it.",B07CBZ97DW,AG62ITQMYKPMKZDYO7A4GLTRGD5A,2020-05-20 07:01:48.063
5.0,The best,Exactly as advertised,B018FIUMG0,AHFOEIAWTLUEZ76UXMCMZNILPMLA,2017-02-08 14:34:13.000
3.0,Cute but poor quality for the price!!,These are cute but not worth the price. They cause streaking when brushing access power away.,B072KGXRV4,AHWDFWOMU4ITFDV7EX26JR76B64Q,2020-04-30 17:26:02.339
2.0,Two Stars,doesn't go on like the picture.,B00XP86KXU,AGWHKHTAWKKQQHRCJYM54UIA5ZTA,2017-09-26 18:47:21.648
5.0,Love this!,This is the first time I bought this program with the Enhanced Payroll feature.  I was thrilled when I was setting it up.  I usually pay the subscription for the payroll feature at the sweet price of $650.00 per year.  This included the payroll and I will have to pay $2.00 additional per employee over 1.  After the year the monthly subscription is still a savings.,B07FZ5HZLM,AE7AOKFYF3XJJPYYJSIHI2TPN3CQ,2019-01-26 03:21:53.719
5.0,Love it!!,"Love it ! Came way before time, I ordered it on July 17 & it said it would come August 10 but it came today July 23. I was so excited! Works really well . Nothing damaged and everything in great condition . Very satisfied customer 💗!",B00Q970V5W,AHZMVRMUIL7ZYYCXLI63YJWA2PMQ,2016-07-24 02:21:20.000
4.0,works great and good for travel,very lightweight and seems to work on any type of hairdryer,B019GBG0IE,AE5TJ7SAFVPIWRIJEL3Z52EHMW5Q,2016-03-21 03:23:05.000
5.0,So cool.,The cat eye look is so cool!<br />The glittery blue covers so well!<br />These polishes dry under a UV Lamp in under 90 seconds!<br />After using these nail polishes I feel like I have just went to a nail salon!<br />I’m very happy with this set of nail polishes!<br />The magnet they include does a good job at creating a cat eye!,B085TFXLH1,AEPEDW5FBBJ2XYR2BIJAKUPHCMHA,2020-12-12 20:12:22.607
5.0,It reccomends you reapply every 80 minutes and that is a good idea. no skin irritation or burning with application,"This comparable to any other brand of sport sunscreen you'd buy in a drugstore. Used it on a sunny day, in the pool, and did not burn. It reccomends you reapply every 80 minutes and that is a good idea. no skin irritation or burning with application.",B071K5T4JN,AGYXV6YKF7Z2NTLKDHCYMUCYQUEA,2017-08-15 18:14:26.182
5.0,So cute,Super cute and great value!,B07SQ8193F,AH4CGRSYSW5CWLRGQYRZKNJBUPAA,2020-03-26 08:27:31.700
5.0,Five Stars,gives my fine hair umph...and my curls strength and hold to last a long time!,B01IA9HGAO,AEA2ZLYN72HLESHDDY7E7G6FBMRQ,2016-12-17 21:46:14.000
4.0,Amazing!,I applied this product Tuesday and have not had to wait 3 days to see results! Peeling started the veey next day for me. It does what it says. I will say my feet definitely needed the TLC! 4 stars due to me still waiting to see the final result but I definitely recommend it!!,B01CE32AV2,AEHTXHQ2OUTFWOGKHXRYUJYPCFDA,2016-05-12 04:51:24.000
5.0,Great perfect exfoliator,Great consistency,B007IAE5WY,AHCGYNZFQS4YQRDUQN4F3OZI7AKQ,2019-09-02 05:26:29.023
1.0,Don’t buy this,Doesn’t lather and hair will feel dry pro’s reduces brassy hair like it should and doesn’t have a strong sent I will not buy this again and already ordered something different and I’ve only had this one a few weeks that’s how much I hate it,B08RY6S25W,AEAB4BGLNGG2VK5PT2QEFERW5NKA,2022-03-15 01:10:19.716
5.0,Great quality!,"The quality of these are GREAT! They're very solid, but not over weighted so they fall out. They held my hair (very long and thick) without pulling or falling out.",B07MLGCDRD,AGTKDHVPMJ2I3LBH3WEJJ2KKHENA,2021-01-10 18:53:12.892
3.0,its fine,one of the brush is kind of hard to use,B08KZW97ZM,AFMAKSLCJI2JA5QWLTLX6JPD7QMA,2021-03-27 22:32:57.812
5.0,"WOW, I'm impressed","I'll be honest - for the price, I wasn't expecting much. I bought this thinking that if the tool for cleaning under the toenails was usable and didn't snap off the first time I used it, I'd consider it a win.<br />I can honestly say I'm blown away by the quality of these items. They're heavy and solid, and appear to have no plastic whatsoever (other than the grips on the clippers). They actually feel like quality dental or medical tools in terms of weight, finish, and balance. The nippers are strong, sharp, precise, and perfectly aligned. They require a bit of getting used to for using, but they snipped even my thick old gnarly big toenail with almost no effort. They worked pretty well on dead skin/calluses too, but to be honest they're so sharp I'm afraid to try much with that - I'll just stick to the cuticle removing tool, which is also sharp if somewhat less easy to use on my own toes (works great on my fingers though).<br /><br />I am extremely impressed - these would be a value at even twice or three times the price.",B07RZJHBKT,AGBWX3ARGERGXLX3T4YYJKSTCTCQ,2019-06-11 17:29:17.371
5.0,Brightening Moisturizer!,"Amazing!! Exactly what it says, I'm African American, and this makes my skin look even more beautiful! Great make up primer!",B00XVI9QN0,AEIDJXCJGMEGUZ3KMO6B4OGGU6OQ,2017-05-26 14:56:54.000
5.0,Great buy!,This nail dryer seems to good to believe. I did a gel manicure and pedicure with such ease!!!,B085ZRVDKP,AEU6TWWHZQOFIJL3E72SIH4SZ3DQ,2020-09-26 00:54:57.622
4.0,dress,"very cute dress, gave it to my daughter its a beautiful material and design feels good against your skin also very flowy and lovely.",B00CN08ZCK,AFAPNXWAMQXJWAULJEQWEG32C4SA,2013-12-03 00:10:22.000
5.0,Great product.,It’s great! Doesn’t smudge throughout the day. Easy to use! I usually use benefit and this is a fair comparison in quality,B081CHG49R,AHLVYDQFUHT7VZUDUNG22FFPZZ4Q,2020-01-05 22:00:27.018
5.0,Easy to Use,Really great for clearing scalp build up.,B07KDNK11M,AGNKGZ4EOQVNJHUQAL67K6EDFUPA,2019-11-18 22:54:29.215
4.0,Sharp brows,The stencils works very well the razor that comes along with it is not that sharp.,B09H7599MT,AGFAUB2GS6CQH6NENMBH36JWSZWA,2023-01-11 18:52:25.285
5.0,Five Stars,cool,B00H1M8R3C,AGHOZIKBHXIVYEX27VF6VJG3TQ7Q,2015-01-14 18:12:32.000
5.0,better than expected,Great product it worked better than expected i have used now for one month and i can say i can see the difference.,B00OS9YWJY,AHVYK6NF2O4HD2Q7WFEO2SX6BU5A,2016-06-06 17:17:15.000
5.0,Buy them! Worth it!,"I saw these makeup brushes and I was scared to buy them and get them in and they would feel like little girls toy makeup brushes but they were heavy, the bristles were just like makeup-pro brushes. Everything was perfect! Plus its a gift to my bff and she will think its from somewhere expensive lol",B08V9BR8Z8,AGIBV7STYX4HL6BERS5WKJTZPIPA,2021-05-02 15:40:57.226
5.0,Very pleased - with a few quirks,"I am usually a clip in hair extension girl, but thought I would give these a try. These were supy easy to install, i have very fine hair, not very thick so only took about 3 hours to do. I bought three packs of the 16/22 piano color highlight blonde. I am giving them 4 stars because one pack i bought, some of the holes in the pieces of hair where my hair goes through were not big enough so I couldn't even use those pieces of hair, it was obviously a bad batch. Also, the beads are very light colored and you can see them easily when you pull your hair back, should be a tad darker. I could return them I suppose, but  I dont know how to go about doing that when I used some of the good ones that were in the box. Might ask for a partial refund. but other than that these look really good, I might have to move some around so they dont show but again this is my first time doing something like this other than clip ins, so I think it looks pretty good. I can tug on them and brush them without them falling out.",B01HBARSRE,AEHY3PURYMKSN2VFS6LZP4QMOORA,2019-03-08 13:47:20.317
4.0,"Burns a bit, not completely waterproof, but good overall.","I like this liquid liner for the most part but I do notice a burning sensation after applying. It doesn't burn for very long though and it is definitely manageable for me. I like that the tip stays moist without allowing too much liner to seep out. The tip is precise and easy to apply. I also like that I can make a bold or thin line as well. This seems to be fairly water resistant but I wouldn't say that its fully waterproof. It doesn't run when I'm sweating but it did run a bit when splashed with water. I like that it's made in the USA and cruelty free as well. I've only used it on my natural lashes as I don't have false lashes so I can't say if it works with them or not. All in all, I'm pleased with this product and would buy it again in the future.",B071LLTN9H,AG3FVTSD7ISLKALIPY24IVJCCDTA,2020-09-09 21:08:18.795
5.0,Just what I wanted,These combs are just what I wanted - they clip the hair up but still leave some length showing. Can be used in a couple of ways to be creative with twisting hair around the combs. And was fast delivery. Thanks,B07WMMM753,AGFHIC2TANXYE2D7WFCCGXSM6TNA,2020-02-10 05:53:52.942
2.0,Underwhelming,Not great.  Not bright.  Not worth the money.,B07SZD2S8K,AE5K2UM6F6QQTUBJHLYCG5XENEDQ,2019-08-10 17:36:55.363
5.0,Can not be used as a side part.,Pretty,B07BCB271L,AH7TB24PD7DSISEQRUS3CD3XBXEQ,2019-04-25 15:15:46.106
5.0,YOU'LL LOVE IT,"Durable yet light weight,  YOU'LL LOVE IT",B07HNMR45N,AH7CU6E5GBECOR3ABLKORQ2IJR6A,2018-10-22 15:52:53.804
5.0,Work great!,Super nice quality,B07DMD8M5T,AHZR2W3JJU45GG45JI7C4NZHK4HA,2021-06-15 00:14:07.855
4.0,I loved how fast the shipping was,"I loved how fast the shipping was! The only thing I didn’t like was that the handles of the brushes were red instead of purple as in the picture, but I got this as a gift to my sister and she loved it! I don’t think she used them as of yet, so hopefully she enjoys them!",B01DMU1B2U,AFRALUKFVBZHRV6RAK5SX54YPWGA,2018-02-21 18:39:21.852
5.0,Thumbs Up!,thank you for the great high-quality products!,B007WFZ0XI,AGHWC5RA2RHZKDQVSZ67SMXAJEWQ,2014-12-23 15:46:11.000
5.0,Best gel base and top coat,"This brand is my favorite for at home gel manicures. The base and topcoat are super durable, adhere well and last a long time. Will buy again.",B088Z35TDL,AGIBABHDFPKWLPSXHXUTCQ7FKOYA,2022-06-09 04:04:16.908
5.0,The smell is Divine,"Okay so to start I'm not into mustache competitions or anything like that. I just wanted a good looking well groomed mustache and call it good.<br /><br />So what do I have now? A good looking well groomed mustache that smells like heaven. If I got rid of my mustache I'd be willing to wax my nose hair just to smell this wax.<br /><br />So yes, it holds well though I won't pretend to know what is required for a competition. For casual usage it holds well and it smells incredible. I will definitely be buying this again.",B074XMTBLK,AFPY4PL7WTGYZICPGSO5SV5NGC5Q,2018-01-25 17:33:37.659
2.0,Two Stars,Okay but I would not purchase again at the price point,B00NEOU5S6,AGTGBQG3NEZN4FOZACXTZY2JFXUA,2017-05-22 13:27:58.000
5.0,Purple rain,Absolutely love,B08K794HLZ,AHS3BGFWZUGP2KMIYJN274SXEQWA,2021-08-27 21:46:11.546
5.0,Perfect for my Coastal Scents palette!!,"I love that these are the exact size of the Nyx hot singles eyeshadow refills, and I love how clean they came in the package.<br /><br />Before I got these I had a mishmash of messy depotted pans that were bent and flimsy and had to be glued down because they weren't reactive to a magnet, but now that I've transferred all of the colors into these new pans my palette looks much neater, (and I may add a dot of glue just to be safe), but my pans are much more secure. (The pictures given are of the old palette with mismatched pans, and the new one with colors transferred over).",B077D5N92Z,AGBKWXMOTPE7LQBGJLJULXMBVS5Q,2018-08-31 05:13:53.474
4.0,Colors are Good!,"These are a great deal. It did take a while for them to get here and a few of the colors are BEAUTIFUL, but guess what those colors you only get one of! The other colors have multiples. A few of the stones are not sitting in the setting properly so they catch on hair and fabric easily but for the most part they are good. Definitely worth the price.",B00H1M8R3C,AHRK2QKSZFH2PECNJUKHJECCRSFQ,2016-01-12 20:29:15.000
2.0,Two Stars,I though it would have hair blowing with the roll brush.  It is a hot iron with no air.,B00011QUDE,AFY2QMRIPVSUOSXKMIYPC3GPNJ4Q,2015-09-14 15:32:12.000
5.0,Five Stars,"Marvelous product, reduced the dander in my husband's beard!",B01CDEJ1H8,AHLVMUD7PDL7KKBC7RP534NE7DSQ,2016-12-06 02:56:06.000
3.0,NOT 100% human hair,"Says 100% human hair, but it's not. It may be a blend or a high quality synthetic. Might be ok for cutting and braiding. I need this for cosmetology school. So I must have human hair for heat styling and coloring. I'm returning this. This is the second time I've ordered a ""100% human hair"" mannequin head from Amazon that turned out to not actually be human hair. Buyers beware!",B08XQDBC9H,AHBYLXPPUJXNMNPJNXD2PL3PMYKQ,2021-06-22 20:42:40.976
3.0,Fair Product,"It works great for makeup removal, but I found it to be more oily than anticipated.",B00U2VQZC4,AFHIT3NNZP6J2QCLRQC2LW45UIBA,2018-11-29 02:39:16.176
4.0,Four Stars,Arrived early super cute thanks !,B00H1M8R3C,AFZNSKNLQONDJOPCN56DL6QWDY4A,2015-10-23 20:00:30.000
4.0,You get what you pay for,"This is a good quality product line. This is one of those occassions where you get what you pay for, and this stuff isn't cheap. My hair feels healthier, however it does act like a baby relaxer, so it has changed my curl pattern and my hair seems thinner because of it, which is the only downside.",B00AM15K16,AHBTE2WAW3TVIGLWINZWHA6HHILQ,2018-04-13 18:38:27.718
5.0,Works awesome!,This works awesome. Even did a test and hand washed a few of my more frequent use brushes and then used the brush spinner and so much more residue came off. Very pleased,B071FV4X7G,AHU3ADGMUSP2ENKDASS2SHL6RUXQ,2019-03-04 23:47:16.469
5.0,Light and protective,This is a light moisturizer and slightly cooling.,B01BM1UQTA,AG75RKT2M5HQ5C65O24CSM3TERGQ,2020-03-14 23:01:48.278
5.0,nice hair accessories,"Cute Pins for hair, love them.  The shipping took awhile, but I think they came from over seas and the price and design was worth the wait.  I have fine hair but a lot of it, and these work well to pull hair away from my face.  They look really nice on and are easy to use.",B016D604OG,AGUH45VOWQQM5G7HN5IGJHO236DA,2017-10-06 01:55:25.384
4.0,More Liner!,This product was overall an affordable option when it comes to lashes. You certainly need to use a lot of liner and let it dry completely before use. I had to reapply a few times on one eye as the lash was beginning to fall off.<br /><br />I am curious to see how well a used pair works the second or third time around.<br /><br />Overall worth the 14 bucks for 5 pair!,B08BZNW9NK,AEN3DZ4MKGXHUU3WDFFQ6E5RAHLQ,2020-10-09 13:40:37.689
1.0,Don’t stick,They don’t stick well at all I sent back for a refund. I guess it depends on the brand because I got some from AliExpress that stayed on for days….,B096D6F7PS,AGLDMQOGZGSEF4HSGWLJ7H7IJOOQ,2021-10-02 18:22:51.984
5.0,COLD.....love them,"These are large, get cold quickly.....I am going to order a second set..... I highly recommend them.  They came quickly.",B01GU60NBS,AH4NZSIDB7E7LBPMYOITVEE2Z6IA,2016-07-07 00:50:45.000
3.0,I didn’t really like it,I personally didn’t like it because of the sent or flavor also It didn’t really moisturize,B0983R9X7M,AFBVYRHBENEX3XXEHUUJHWTXJ3EQ,2022-10-24 07:52:33.096
2.0,Wouldn't recommend,"Very soft, got to make face masks, tears where sewn/tied.  Waste of money",B07PWJRXZY,AEVWCW5BVLQPKVNF7L2YFHDZUNAA,2020-11-16 20:33:51.229
5.0,Excellent,Excellent,B00DD4KQ6S,AE3NFBWWZFU6I6UP6JSY43TFTWOA,2019-12-02 17:53:53.824
3.0,Uncomfortable,Its very uncomfortable! You would do better  ordering a KN95 mask,B08CGW4K6X,AEW32QJNR4BSH3GAA5WMZYALLAIQ,2020-11-15 23:58:08.261
5.0,Perfect appliance solution,"I use my flat iron, electric hot comb and curling irons with this product. I've constantly worried about the damages my vanity table or the the toilet top would take if I placed my hot hair appliances on them. (The top of the toilet when I had no bathroom counter space BEFORE I got my vanity table.) This mat definitely put me at ease with that. I often need to leave the house right after styling my hair but with my cat running around, I always worried he would knock it down and get hurt. I used to unplug it and leave it on the kitchen counter and close the door so he couldn't get to it. With the mat I can put my still hot appliance it it, wrap up the cord around it and put it right back in the drawer where I keep all my hair appliances and not worry about any damages. It's definitely a wise purchase and worth the money (which is reasonably priced in my opinion).",B002ARK308,AHP2TJUIU5C233MWNVWUXOYYIP2Q,2011-07-17 22:52:01.000
5.0,Very good quality,"Ordered on a whim while in quarantine. Came in a super cute pink plastic case which was a fun little surprise. Each individual piece was wrapped neatly. So far no complaints, very happy I found these.",B07Y9R63NG,AGAJHOH5O3AYRSUFALBRTE5T6IRA,2020-03-28 23:18:41.582
5.0,Five Stars,Awesome temp tats. :D,B01BW6ANGG,AG7R6TICNBP5T4TJRNGFCEFZ7O7A,2016-08-23 03:36:41.000
5.0,I hate buying hair online,"I hate buying hair online! The pictures are always amazing but when you receive it in the mail, it's like &#34;DAMN, DAMN, DAMN&#34;. Most times, this is the case as soon as you lay eyes on the hair! Well, not this time! I received this hair in the mail today and it's amazing so far.  I love the way it feels and how bouncy the hair is and how FULL the bundles are.  I ordered 4 bundles (16, 18, 20, 22) because I felt that I would get more for my money.  (I ordered a separate closure here: https://www.amazon.com/gp/product/B01EE9NQBM/ref=oh_aui_detailpage_o02_s00?ie=UTF8&psc=1 - and the colors and wave pattern are the same).  I took several picture so you ladies can really see the hair.  The picture with the little strands on the white paper is from me running my hands through each bundle about 10-15 times.  This is all that came out.  I did find one plastic hair (pictured below). I would highly recommend this hair but plan to do another review after install.",B019N8W1YM,AFHHJJOQBWF5ALBYM3WZQK4HOQRA,2017-01-17 01:04:58.000
